GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectoListaCompraPersistencia,Entidades,Cliente,27,43,0,0,13,17,7,9,7,9
ProyectoListaCompraPersistencia,Entidades,Compra,12,42,0,2,6,16,3,9,3,8
ProyectoListaCompraPersistencia,Entidades,Producto,8,70,0,0,4,29,2,13,2,13
ProyectoListaCompraPersistencia,Exceptions,PersistenciaException,14,9,0,0,6,4,3,2,3,2
ProyectoListaCompraPersistencia,Conexion,Conexion,18,58,1,15,4,21,1,12,0,5
ProyectoListaCompraPersistencia,DAOs,ClienteDAO,7,193,3,5,2,53,3,8,0,7
ProyectoListaCompraPersistencia,DAOs,ProductoDAO,36,305,8,24,8,88,8,17,0,9
ProyectoListaCompraPersistencia,DAOs,CompraDAO,7,183,1,5,2,51,1,9,0,7
